Column,"6 Months
2016
Shs’000"
,"1,026,090
491,342
48%
(466,396)"
,"24,946
(50,844)
(46,848)
2,578"
,"(70,168)"
,"(70,168)
17,542"
,"(52,626)
(102)"
,"(52,728)
========
(0.57)
========
123,558"
CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 30TH JUNE 2016,
,"JUNE
2016
Kshs’000"
,"823,570
1,073,359"
,"1,896,929"
,"308,896
548,803
540,088
363,919
135,222"
,"1,896,929"
CONDENSED CONSOLIDATED STATEMENT OF CASH FLOWS AS AT 30TH JUNE 2016,
