Responses,Column,Column
"Application – FA, PA or NA
– see Notes 1, 2, 3 and 4",Application or Explanation – Note 2,Source of information
FA,Yes. In the Annual integrated Report.,
FA,"Yes. The Board explicitly disclosed in the Annual
Integrated Report that there were no known insider
dealings in the Company. The Board has also
explicitly disclosed that the CMA exempted the
Company from carrying out a governance audit
for the year ending 31 December 2020.",
FA,"Yes. The Risk Management Policy, Procurement
Policy and IT Policy of the banking subsidiary of
the Company are disclosed in the Annual
Integrated Report. These policies have also been
posted on the Company’s website.",
FA,"This information has been disclosed in the 2020
Annual Integrated Report, specifically under the
Financial Statements. No member of the Board
or senior management holds any shares in the
Company.",
FA,"Yes. These are disclosed in the Annual Integrated
Report under the Financial Statements.",
FA,"Yes. A statement of policy on good governance
and the status of the application of the Code is
contained in the 2020 Annual Integrated Report,
which has been posted on the website.",
