"2017
KShs’000"
"5,362,766
(3,444,103)"
"1,918,663"
"(14,948,087)
(3,200,436)
(13,336,722)
1,686,998
1,718,913
163,931
3,499,101
(514,454)
35,502,406
(3,505,088)"
"8,985,225"
"4 2,174
(5,444,178)
(457,254)
(436,543)
2 ,561"
"(6,293,240)"
"(1,900,000)
3 ,105"
"(1,896,895)"
"795,090"
"24,881,380
119,898"
"25,796,368"
