Statement of profit and loss,Total,Total,Kenya,Kenya,South Sudan,South Sudan
,2025,2024,2025,2024,2025,2024
,"KShs
Million","KShs
Million
48,165
(23,828)","KShs
Million","KShs
Million
48,161
(23,807)","KShs
Million",
,"37,214",,"37,207",,7,
,"(13,130)",,"(13,105)",,(25),
,"24,084","24,337
6,042
(1,069)","24,102","24,354
5,190
(1,058)",(18),
,"6,778",,"6,054",,724,
,"(1,271)",,"(1,266)",,(5),
,"5,507","4,973
7,502
2,849
114
(32)","4,788","4,132
6,738
2,849
114
(32)",719,
,"7,608",,"6,466",,"1,142",
,"1,006",,"1,006",,‑,
,280,,277,,3,
,26,,26,,‑,
,"8,920","10,433","7,775","9,669","1,145",
,"38,511","39,743","36,665","38,155","1,846",
,"(1,628)","(3,099)","(1,630)","(3,081)",2,
,"36,883","36,644","35,035","35,074","1,848",
,"(9,147)","(9,135)
(707)
(324)
(7,497)
(10)","(8,448)","(8,340)
(695)
(304)
(6,991)
(1)",(699),
,(781),,(757),,(24),
,(317),,(289),,(28),
,"(7,698)",,"(6,983)",,(715),
,(14),,(2),,(12),
,"(17,957)","(17,673)","(16,479)","(16,331)","(1,478)",
,"18,926","18,971","18,556","18,743",370,
,"(5,208)","(5,255)","(5,071)","(5,202)",(137),
,"13,718","13,716","13,485","13,541",233,
