"Share
capital
Shs ‘000","Share
premium
Shs ‘000","Revenue
and other
reserves
Shs ‘000","Proposed
Dividend
Shs ‘000","Total
Shs ‘000"
"1,976,608","16,897,389
-
-
-
-","27,867,899","2,292,869
-
(2,292,869)
1,502,224
-","49,034,765"
-,,"5,192,240",,"5,192,240"
-,,-,,"(2,292,869)"
-,,"(1,502,224)",,-
-,,"(203,180)",,"(203,180)"
"1,976,608","16,897,389","31,354,735","1,502,224","51,730,956"
,"16,897,389
-
-
-
-",,"1,502,224
-
(1,502,224)
2,885,848
-",
"1,976,608",,"31,354,735",,"51,730,956"
-,,"7,208,090",,"7,208,090"
-,,"(672,045)",,"(2,174,269)"
-,,"(2,885,848)",,-
-,,"(311,750)",,"(311,750)"
"1,976,608","16,897,389","34,693,182","2,885,848","56,453,027"
