STANBIC HOLDINGS PLC BOARD ATTENDANCE FOR 2023,Column,Column,Column,Column,Column,Column
,DIRECTOR'S NAME,"Q1,
8TH MARCH
2023","Q2,
18TH MAY
2023","Q3
9TH AUG
2023","Q4
22ND NOV
2023","Q4
20TH DEC
DEC 2023
SPECIAL"
1,Kitili Mbathi,P,P,P,P,P
2,Patrick Mweheire,P,P,P,P,AP
3,Peter Gethi,AP,P,P,P,P
4,Rose Osoro,P,P,P,P,P
5,Dorcas Kombo,P,P,P,P,P
6,Samuel N. Gikandi,P,P,N/A,NA,N/A
7,Wambui K. Mbesa,P,P,P,P,P
8,Joseph Muganda,P,P,P,P,P
