Column,Column,GROUP,Column
,,2004,2003
,,Sh'OOO,Sh'OOO
21,OTHER ASSETS,,
,Items in transit,"146,407","104,283"
,Insurance premium receivables,"479,380","377,974"
,Due from reinsurers,"53,716",
,Kenya Motor Insurance pool,,"10,369"
,Deferred insurance commission,"23,437","21,246"
,Reinsurance share of technical provisions,"2,275,406",
,Other,"453,388","197,291"
,,"3,431,734","711,163"
