Column,Column,H1 2025,H1 2024,% Change
,,Kes m,Kes m,
,"et interest income
on-interest revenue","11,827",,
,,"7,621",,
,"otal income
perating expenses","19,449",,
,,"(9,385)",,
,"re-provision profit
redit impairment charges","10,063",,
,,"(1,455)",,
P,rofit before tax,"8,608","10,029",(14.2)
,ax,"(2,063)",,
P,rofit after tax,"6,545","7,214",(9.3)
