STANBIC HOLDINGS PLC BOARD ATTENDANCE FOR 2017,Column,Column,Column,Column,Column
,DIRECTOR’S NAME,"Q1, FEBRUARY 23, 2017","Q2, MAY 4, 2017","Q3, AUGUST 11, 2017","Q4, NOVEMBER 23, 2017"
,,"P
P
P
P
P
P
P
P
P
N/A",,"P
P
N/A
P
P
P
P
P
P
N/A",
,Fred Ojiambo,,P,,P
,Greg Brackenridge,,P,,P
,Mike Blades,,N/A,,N/A
,Christopher Newson,,AP*,,AP*
,Kitili Mbathi,,P,,P
,Rose Kimotho,,P,,P
,Edward Njoroge,,P,,P
,Ruth T. Ngobi,,P,,P
,Peter Gethi,,P,,P
,Rose Osoro,,N/A,,P
