"Notes (continued)
22 Financial assets – (amortised cost) (continued)
22.1 Reconciliation of expected credit losses for debt financial assets measured at amortised cost",Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
,,"Opening
ECL
1 January
2021","Total
transfers
between
stages",Income statement movements,,,,"Net ECL raised/
(released)1","Impairment
accounts
written-off","Exchange
and other
movements","Closing
ECL
31 December
2021"
,,,,"ECL on new
exposure
raised","Change in ECL
due to
modifications","Subsequent
changes
in ECL","Change in
ECL due to
derecognition",,,,
,,KShs KShs KShs KShs KShs KShs KShs KShs KShs KShs,,,,,,,,,
,Financial assets Amortised cost,,,,,,,,,,
,"Sovereign - Debt
securities
Stage 1
Pledged assets
Stage 1
Stage 2",1 4,-,6,-,4,(1),9,-,-,2 3
,,1 4,-,6,-,4,(1),9,-,-,2 3
,,1,-,-,-,-,-,-,-,-,1
,,1,-,-,-,-,-,-,-,-,1
,,-,-,-,-,-,-,-,-,-,-
,Total,1 5 - 6 - 4 (1) 9 - - 2 4,,,,,,,,,
"1 Net impairments raised/(released) less recoveries of amounts written off in previous years equals impairment charge in the statement of profit or loss (refer credit impairment
charges note).",,,,,,,,,,,
