31 December 2016,Column,Performing (Early arrears) Non - performing,Column,Column,Column,Column,"Total
KShs'000",Column
,,"1 to 29 30 to 59 60 to 89 90 to 180 More than
days days days days 180 days
KShs'000 KShs'000 KShs'000 KShs'000 KShs'000",,,,,,
,Personal and Business Banking,"3,435,980","1,342,009","511,677",-,-,,"5,289,666"
,Mortgage lending,"975,673","372,007","191,496",-,-,,"1,539,176"
,Instalment sales and finance leases,"1,488,613","737,579","188,642",-,-,,"2,414,834"
,Other loans and advances,"971,694","232,423","131,539",,-,,"1,335,656"
,,,,,,,,-
,Corporate and Investment Banking,"5,882,040",5,"1,412,770",-,"57,866",,"7,352,680"
,Corporate lending,"5,882,040",5,"1,412,770",-,"57,866",,"7,352,680"
,Total recognised financial instruments,"9,318,020","1,342,014","1,924,447",-,"57,866",,"12,642,346"
31 December 2015,,,,,,,,
,,"4,184,395 1,368,090 615,238 - -",,,,,"6,167,723",
,Personal and Business Banking,,,,,,,
,Mortgage lending,"1,045,668 347,436 251,522 - -
1,776,396 730,076 230,550 - -
1,362,331 290,578 133,166 - -
13,034,037 309,417 412,838 - 124,542",,,,,"1,644,626
2,737,022
1,786,075
-
13,880,834",
,Instalment sales and finance leases,,,,,,,
,Other loans and advances,,,,,,,
,Corporate and Investment Banking,,,,,,,
,Corporate lending,"13,034,037 309,417 412,838 - 124,542
-",,,,,"13,880,834
-",
,Total recognised financial instruments,"17,218,432 1,677,507 1,028,076 124,542",,,,,"20,048,557",
