Company statement of changes in equity,Column
"Note
Year ended 31 December 2021","Attributable to equity holders
Retained Proposed
Share Capital Share Premium Total Equity
earnings Dividend
KShs Million KShs Million KShs Million KShs Million KShs Million"
"At 1 January 2021
Profit for the year
Contribution and distributions to owners
Dividends to equity holders - dividend paid 18
Dividends to equity holders - proposed dividend 18","1,977 16,897 (2,135) 1,502 18,242
- - 2,169 - 2,169"
,"- - (672) (1,502) (2,174)
- - (2,886) 2,886 -"
Total contributions by and distributions to owners,"- - (3,558) 1,384 (2,174)"
At 31 December 2021,"1,977 16,897 (3,524) 2,886 18,236"
"Attributable to equity holders
Retained Proposed
Note Share Capital Share Premium Total Equity
earnings Dividend
Year ended 31 December 2020 KShs Million KShs Million KShs Million KShs Million KShs Million",
"At 1 January 2020 1,977 16,897 (2,908) 2,293 18,260
Profit for the year - - 2,275 - 2,275
Contribution and distributions to owners
Dividends to equity holders - dividend paid 18 - - - (2,293) (2,293)
Dividends to equity holders - proposed dividend 18 - - (1,502) 1,502 -",
,"- - - (2,293) (2,293)
- - (1,502) 1,502 -"
"Total contributions by and distributions to owners - - (1,502) (791) (2,293)",
"At 31 December 2020 1,977 16,897 (2,135) 1,502 18,242",
