Shares,Percentage
281 310 619,71.16
21 531 147,5.45
10 417 950,2.64
5 680 033,1.44
4 342 548,1.10
2 531 453,0.64
2 137 651,0.54
2 111 605,0.53
2 093 422,0.53
1 987 300,0.50
61 177 910,15.48
395 321 638,100.00
