Note,"31 December 2009
Shs'OOO",Column,"31 December 2008
Shs'OOO"
"6
7
8
9
10
11
24
12
13
14
15
16
17","4,652,515
7,096,328
(2,443,813)
3,046,903
1,454,059
1,465,277
(11,218)
1,483,488
109,356
82,238
1,106,128
8,887,784
(599,149)
(699,449)
7,589,186
(6,879,885)
(2,306,249)
(4,573,636)
709,301
(673,373)
35,928
(59,871 )
95,799
35,928
(0.22)",,"3,717,530"
,,"7,096,328
(2,443,813)","5,804,824
(2,087,294)"
,,,"2,193,311"
,,,"1,363,048"
,,,"1,390,074
(27,026)
814,067
16,196"
,,,"71,165
1,152,597"
,,,"7,134,603"
,,,"(859,959)
(226,622)"
,,,"6,048,022"
,,,"(4,725,666)
(1,819,568)
(2,906,098)"
,,,"1,322,356"
,,,"(475,763)
846,593"
,,,"752,179
94,414"
,,,"846,593"
,,,3.35
