Statement of profit or loss,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
,,Total Group,"Total Group
Kshs'000",,CIB,,CIB,,PBB,,PBB
,,Kshs'000,,,Kshs'000,,Kshs'000,,Kshs'000,,Kshs'000
,,2015,2014,,2015,,2014,,2015,,2014
,,,"11,642,457
(3,180,512)",,,,,,,,
Interest income,,"14,667,896",,,"8,756,339",,"6,918,617",,"5,911,557",,"4,723,840"
Interest expense,,"(5,364,849)",,,"(3,659,579)",,"(2,269,415)",,"(1,705,270)",,"(911,097)"
Net interest income,,"9,303,047","8,461,945",,"5,096,760",,"4,649,202",,"4,206,287",,"3,812,743"
,,,"(702,822)",,,,,,,,
Impairment (losses)/credits on loans and,"(907,305)",,,"(240,239)",,"(60,729)",,"(667,066)",,"(642,093)",
advances,,,,,,,,,,,
Net interest income after loan,"8,395,742",,"7,759,123","4,856,521",,"4,588,473",,"3,539,221",,"3,170,650",
impairment charges,,"8,395,742",,,"4,856,521",,"4,588,473",,"3,539,221",,"3,170,650"
,,,"3,554,511
(246,864)",,,,,,,,
Fees and commission income,,"3,392,725",,,"1,704,498",,"1,646,545",,"1,688,227",,"1,907,966"
Fees and commission expense,,"(323,723)",,,"(111,767)",,"(3,215)",,"(211,956)",,"(243,649)"
Net fees and commission income,,"3,069,002","3,307,647",,"1,592,731",,"1,643,330",,"1,476,271",,"1,664,317"
,,,"4,779,322
321,584",,,,,,,,
Trading income,,"4,306,531",,,"3,980,514",,"4,779,322",,"326,017",,-
Net other operating income,,"265,695",,,"132,549",,"103,569",,"133,146",,"218,015"
Net trading and other income,,"4,572,226","5,100,906",,"4,113,063",,"4,882,891",,"459,163",,"218,015"
,,,"(4,472,141)
(556,912)
(3,438,377)",,,,,,,,
Employee benefits,,"(5,035,142)",,,"(2,350,916)",,"(2,029,581)",,"(2,684,226)",,"(2,442,560)"
Depreciation and amortisation expense,,"(503,832)",,,"(191,916)",,"(220,141)",,"(311,916)",,"(336,771)"
Other expenses,,"(3,138,582)",,,"(1,543,706)",,"(1,969,391)",,"(1,594,876)",,"(1,468,986)"
Profit before tax,,"7,359,414","7,700,246",,"6,475,777",,"6,895,581",,"883,637",,"804,665"
,,,"(2,013,585)",,,,,,,,
Income tax expense,,"(2,453,680)",,,"(2,160,402)",,"(1,791,415)",,"(293,278)",,"(222,170)"
Profit for the year,,"4,905,734","5,686,661",,"4,315,375",,"5,104,166",,"590,359",,"582,495"
