Desk Name Maximum Minimum Average,31-Dec-2015,31-Dec-2014
"Bank wide 48,354 12,165 26,682","21,059","27,818"
"FX Trading 11,654 1,636 4,600","4,498","3,232"
"Consolidated Interest Rate Trading 49,376 11,654 26,886","20,855","27,882"
"Money Markets Trading 29,033 11,450 17,890","20,855","13,950"
"Fixed Income Trading 24,842 - 8,178",-,"14,647"
Credit Trading 818 307 511,409,724
Derivatives - - -,-,-
