Column,C,RIGHTS of SHAREHOLDERS,Column,Column,Column
M,C.1,"Does the governance framework
recognize the need to equitably
treat all shareholders, including
the minority and foreign
shareholders?","3.0
Overview,
3.2.1",FA,"Yes. Contained in the Articles of
Association."
M,C.2,"Other than at the AGM, how does
the Board facilitate the effective
exercise of shareholders' rights?",3.1.1,FA,"Public notice to all shareholders
in the instance there are changes
that are material."
M,C.3,"How does the Board facilitate
shareholders participation at the
AGM?",3.1.1,FA,"Public notices within the
stipulated time, including the
agenda, venue and
documentation for discussion at
the meeting."
A or E,C.4,"Are minority and foreign
shareholders holding the same
class of shares treated equitably?",,,
