GROUP,Column,COMPANY,Column
2025,2024,2025,2024
KShs Million,"KShs Million
‑
1,239
134
15,770
42,278",KShs Million,
‑,,115,
"1,417",,‑,
299,,‑,
802,,‑,
"22,278",,‑,
"24,796","59,421",115,
"2,065","2,496",6,
