Notes (continued),Column,Column,Column,Column,Column,Column,Column,Column
43 Contingent liabilities - Group,,,,,,,GROUP,
Commitments were with respect to:,,,,,,,"2024
KShs Million","2023
KShs Million"
,"Letters of credit and
Guarantees
Unutilised facilities",acceptances,,,,,"3 ,481
7 6,362
1 9,346","30,976
65,303
16,794"
,,,,,,,"9 9,189","113,073"
Contingent liabilities - maturity analysis,,,,,,,,
,31 December 2024,"Redeemable
on demand","Maturing
within 1
month","Maturing
after 1
month but
within 6
months","Maturing after
6 months but
within 12
months","Maturing
after 12
months but
within 5
years","Maturing
after 5 years","Total carrying
value"
,"Letters of credit and
acceptances",4,4 9,"3 ,376",52,-,-,"3 ,481"
,Guarantees,4,9 51,"2 2,539","29,407","23,405",56,"7 6,362"
,Unutilised facilities,1 52,"1 ,548","4 ,568","13,078",-,-,"1 9,346"
,31 December 2023,,,,,,,
,"Letters of credit and
acceptances",-,2 47,"3 0,729",-,-,-,"3 0,976"
,Guarantees,204,"3 ,819","1 3,121","27,182","20,591",386,"6 5,303"
,Unutilised facilities,-,9 94,"2 ,608","13,192",-,-,"1 6,794"
43 (a) Nature of contingent liabilities,,,,,,,,
"Letters of credit commit the Group to make payments to third parties, on production of documents, which are subsequently
reimbursed by the customers.",,,,,,,,
"Guarantees are generally written by a Group to support performance by a customer to third parties. The Group will only be
required to meet these obligations in the event of customers’ default.",,,,,,,,
"An acceptance is an undertaking by the Group to pay a bill of exchange drawn on a customer. The Group expects most of the
acceptances to be presented, and to be reimbursed by the customer almost immediately.",,,,,,,,
