N,37,LIQUIDITY RISK (Continued),Column,Column,Column,Column,Column,Column,Column,Column,Column
,,,,,- -,,,,,,
,,,,Upto,1-3,3-6,6-12,1-3,3-5,Over,
,,,r,1month,months,months,months,,,5years,Total
,,,[,,,,,years,years,,
0,,,,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO
,,EQUITY AND LIABILITIES,,,,,,,,,
,,Customers deposits,,"8,387,872","2,928,880","479,852","773,277","103,410",,,"12,673,291"
0,,Deposits and balances due,,,,,,,,,
,,to banking institutions,,"730,000","734,202",,,,,,"1,464,202"
,,Line of credit,I,,,,,,"1,016,250",,"1,016,250"
,,Other liabilities,,"945,829","90,366","2,542,184","561,554",,,"4,580,693","8,720,626"
..j::..,,Taxation payable,I,"6,901","35,622",,,,,"7,966","50,489"
,,Deferred tax liability,,,,,,"21,829",,"52,553","74,382"
,,Unclaimed dividends,,,"4,838",,,,,,"4,838"
,,Share capital,,,,,,,,"720,000","720,000"
,,Capital reserves,,,,,,,,"231,172","231,172"
,,Revaluation reserves,,,,,,,,"20,961","20,961"
,,Revenue reserves,,,,,,,,"1,429,698","1,429,698"
,,Proposed dividends,,,"120,800",,,,,,"120,800"
,,Minority interest,,,,,,,,"501,394","501,394"
,,Life fund,,,,,,,,"2,787,457","2,787,457"
,,Total equity and liabilities,,"10,070,602","3,914,708","3,022,036","1,334,831","125,239","1,016,250","10,331,894","29,815,562"
,,,-,,,,,,,,
,,Net liquidity gap,,"(5,364,846)","(715,986)","(965,864)","3,260,828","6,243,366","575,344","(3,032,842)",
,,Asat 31 December 2003,,,,,,,,,
,,Total assets,,"3,957,571","1,841,009","2,361,647","3,230,595","2,194,230","959,030","1,886,264","16,430,346"
,,Total equity and liabilities,,"10,064,094","909,359","1,019,130","572,409","250,796","57,285","3,557,273","16,430,346"
,,Net liquidity gap,,"(6,106,523)","931,650","1,342,517","2,658,186","1,943,434",901745,"(1,671,009)",
,,"Customer deposits in the first category above represent current, savings and call deposit account balances, which past experience hasshown to be stable and of a long",,,,,,,,,
,,term nature.,,,,,,,,,
