Column,Column,Column,Notional,Column,Carrying,Interest Rate,Column,Date of Issue,Column,Maturity date,Column
,,,value,,value,,Interest Rate,,Date of Issue,,Maturity date
,,,Kshs’000,,Kshs’000,,,,,,
,CfC Stanbic Bond,,"2,402,093",,"2,402,916",,12.50%,,07 July 2009,,07 July 2016
CfC Stanbic Bond,,"97,907",,"97,938",,,182 day T-bill+175,07 July 2009,,07 July 2016,
,CfC Stanbic Bond,,"97,907",,"97,938",,bps,,07 July 2009,,07 July 2016
,CfC Stanbic Bond,,"4,000,000",,"4,012,563",,12.95%,,15 December 2014,,8 December 2021
,Total,,"6,500,000",,"6,513,417",,,,,,
