Column,"8,256,564
(990,384)",Column
"5,461,758",,"1,878,230"
"(3,483,127)",,(736)
"1,978,631","7,266,180","1,877,494"
,"(10,606,157)
(8,137,509)
(455,888)
(1,108,187)
(12,300,360)
427,820
13,081,984
3,345,745",
"(14,948,087)",,-
"(17,099,802)",,-
"1,718,913",,-
"596,916",,-
"255,634",,-
"(792,253)",,"45,691"
"35,332,553",,-
"(3,505,088)",,-
"3,537,417","(8,486,372)","1,923,185"
,"(373,581)
(558,470)
14,612",
"(457,254)",,-
"(453,913)",,-
"2,560",,-
"(908,607)","(917,439)",-
,"-
-
(2,834,458)
(2,495,924)",
"(17,500)",,-
-,,"(42,174)"
"(1,869,872)",,"(1,869,871)"
"3,105",,-
"(1,884,267)","(5,330,382)","(1,912,045)"
,"(14,734,193)
131,276
39,588,922",
"744,543",,"11,140"
"125,906",,-
"24,986,005",,"100,662"
"25,856,454","24,986,005","111,802"
