Number of shares,Number of,Number of,%Shareholding
,Shareholders,Shares Held,
1- 500,483,"101,832",0.07
"501 -5,000",700,"1,329,499",0.93
"5,001 -10,000",362,"2,453,786",1.70
"10,001 -100,000",331,"7,005,517",4.87
"100,001-1,000,000",18,"4,364,696",3.03
"Over 1,000,000",4,"128,744,670",89.40
TOTAL,"1,898","144,000,000",100.00
