Column,2016,Column,Column
,KShs'000,,%
"13,780,097",,12%,
,"4,664,183",,4%
,"17,232,690",,15%
,"2,198,175",,2%
,"31,951,378",,26%
,"13,630,463",,12%
,"539,889",,0%
,"5,304,451",,5%
,"26,286,397",,24%
,"115,587,723",,100%
