Responses,Column,Column
"Application - FA, PA or NA
- See Notes 1, 2, 3, & 4",Application or Explanation - Note 2,Source of Information
FA,"The Company Secretary is a member of ICPSK (Now ICS)
and is a member of good standing, in line with the Company’s
Articles of Association and Board Mandate.","In the 2019 Annual Report, Board Mandate and Articles of
Assocation on the Company’s website. ICS Records and
website."
FA,"This is provided for under Section 7.22 of the Board Mandate.
The Annual Report also contains a detailed report on the
Social, Economic and Environmental activities of the
Company and the progress made in that regard. Further, an
Environmental & Social Policy & Standard and Energy
Management Policy have been implemented in the
Company’s banking subsidiary.","Environmental & Social Policy and Standard, Board Mandate
and 2019 Annual Report available on the Company’s website."
FA,"The Board has an annual work-plan which is approved in the
fourth quarter of the preceding financial year.","Board Work-plan and Board Meeting Minutes availabe for
review by the Regulator."
FA,"Section 10 of the Board Mandate explicitly provides for
evaluation of the Board, Board Committees, the Chairman,
the CEO and the Company Secretary. The 2019 evaluation
was carried out by an independent evaluator. The Board
completed the full annual evaluation and met to discuss the
same on 27 February 2020.","Board Evaluation Minutes, Board Mandate and Board
Evaluation Report available for review by the Regulator."
FA,"There is a formal induction program in place for all in-coming
members. This is provided for under Section 4.5 of the Board
Mandate and Sections 6.1.2 and 7.2.2 of the Nominations
Committee Mandate. The Corporate Governance Statement
in the Annual Integrated Report makes reference to this
process.","2019 Annual Integrated Report, Board Mandate and
Nominations Committee Mandate."
FA,"Yes. In 2019, all Directors received over 12 hours training on
areas of governance from the Company and other credible
sources. Mention of the same is made in the Corporate
Governance section of the Annual Integrated Report. A
calendar of Board Training sessions, including corporate
governance training is usually prepared and approved on an
annual basis and approved in the fourth quarter of the
previous financial year. Further, all Directors must sign the
attendance register after the sessions indicating their
presence and participation and the register includes the
hours for each training. The trainings are conducted by both
external and internal subject matter experts.","Board Training Calendar, Attendance Register, 2019 Annual
Integrated Report. This is included in the governance section
of the Annual Report available on the Company’s website."
FA,"This function is carried out by the Nominations Committee.
This is provided for under Section 7.35 of the Board Mandate
and has been disclosed in detail in the 2019 Annual Integrated
Report under the Board Committees section of the Corporate
Governance Report. The full Board considers and endorses
the Board remuneration Report for ratification and approval
by shareholders.","Board Mandate, Board Nominations Committee Mandate,
2019 Annual Report, Nominations Committee Meeting
Minutes and Board Meeting Minutes."
FA,"There is a Board Remuneration Policy in place and reviewed
on an annual basis, and which is published on the Company’s
website and in the 2019 Annual Integrated Report.","Board Remuneration Policy available in the Annual Integrated
Report and on the Company’s website."
FA,"This is done through the Compliance and Legal & Governance
units, through quarterly reports submitted to the Board
touching on these areas. The Nominations Committee is also
responsible for ensuring this, as per Section 7.1.8 of the
Nominations Committee Mandate.","Board and Committee Meeting Minute and Nominations
Committee Mandate."
PA,"A comprehensive independent Legal & Compliance Audit was
carried out by TripleOKLaw Advocates in 2018 for the year
2017 on the Company and its banking subsidiary and the
relevant reports issued. This was noted by the Board as
necessitated under Section 7.17 and 7.19 of the Board
Mandate. An independent Legal & Compliance audit is in the
process of being conducted in 2020 for the year 2019. An
internal Compliance audit was conducted in 2017 and an
internal Legal & Compliance audit will be conducted in 2020.
The Internal Audit plan is risk based and appropriately covers
the Legal & Compliance risk management on cyclic basis as
well as in scope of the audit planned.","Legal & Compliance Audit Report for 2017 and the BAC
minutes of Q1, 2018 meeting. Board Meeting Minutes of 27
February 2020 approving the appointment of TripleOKLaw
Advocates to conduct the Legal & Compliance for the Bank
for the year 2019."
