Responses,Column,Column
"Application - FA, PA or NA
- See Notes 1, 2, 3, & 4",Application or Explanation - Note 2,Source of Information
FA,"Yes. This is done through issuing public notices via the media
and the Company website and where required by law, seeking
approval from shareholders at a General Meeting. The
Company (and its subsidiaries) is also guided by its policies
stated above.","Media records, Company’s website, Notices and AGM
Minutes."
FA,"By complying with the requirements of legislation, regulation
and the Company’s Articles of Association on public notices
to stakeholders. The Board also ensures that the stakeholders
have access to the Company website, Annual Reports and
investor briefings.","Media records, Articles of Association, Annual integrated
Report and Company’s website."
FA,"There are formal internal and external dispute resolution
processes in place. For stakeholders, including clients,
suppliers and service providers, we include dispute resolution
mechanisms in our contracts to address external disputes.
Regarding staff, our Human Capital policy has mechanisms
for internal dispute resolution. At Board level, there is a Board
Dispute Resolution Policy in place.","External vendor service contracts, Human Capital Policy and
Board Dispute Resolution Policy. The policies are available on
the Company’s website."
FA,"Yes. This is contained in the Code of Ethics, Environmental &
Social Policy and in the Governance Framework. This is
further detailed in the Board Mandate under Sections 4.5,
7.22, 7.24 and 7.35. The Board also emphasises its awareness
of these duties in the Annual Integrated Report under the
Corporate Governance Overview section.","Code of Ethics, Governance Framework, Environmental &
Social Policy, 2019 Annual Integrated Report and Board
Mandate, all available on the Company’s website."
FA,"The Group Code of Ethics is all encompassing and applicable
uniformly to all directors, management and employees. The
same is available on the Company’s website.",Group Code of Ethics is available on the Company’s website.
FA,"Yes. This is included in the Board Mandate and various
policies of the group. In addition, all employees of the
Company are required to undertake online training and
examination on the Group Code of Ethics.","Board Mandate, 2019 Annual Report, policies and Group Code
of Ethics, included on the Company’s website."
FA,"Yes. The evidence is in the documented processes and Board
approved policies of its subsidiary companies. Further, this is
included under Section 6.5 of the Terms of Reference in the
Board Risk & Technology Committee Mandate of the banking
subsidiary.","Board Risk & Technology Committee Mandate, the Integrated
Operational Risk Policy and the Environmental & Social Policy
available on the Company’s website."
FA,"The Company’s performance on ethics is disclosed in the
2019 Annual Integrated Report and through the formal
governance audit carried out.",2019 Annual Integrated Report and Governance Audit Report.
FA,"There is a Whistleblowing Policy in place and is reviewed
annually. The same is available on the Company’s website and
in the Annual Integrated Report.","Whistleblowing Policy available on the Company’s website
and Annual Integrated Report."
FA,"Yes. There is a Group Corporate Social Investment
Framework, Environment & Social Policy and Social
Economic & Environment Committee Mandate which are
available on the Company’s website.","Group Corporate Social Responsibility Framework and
Environment & Social Policy and available on the Company’s
website. The Social Economic & Environment Committee
Mandate."
FA,"Yes. This has been covered in elaborate detail in the 2019
Annual Integrated Report, under the Governance section.",2019 Annual Integrated Report and policies mentioned above.
FA,"Yes, the same is also contained in the 2019 Annual Integrated
Report.",The 2019 Annual Integrated Report.
