Top 10 Investors as at 31 December 2022,Column,Column,Column
Range,Records,Range Total,Percentage
STANBIC NOMINEES LTD A/C NR00901,P.o. Box 30550-00100 Nairobi,"296,188,531",
Standard Chartered Nominees Non-Resd A/C KE11663,PO Box 40984-00100 Nairobi,"13,484,381",
Standard Chartered Nominees Non-Resd A/C 9866,PO Box 40984-00100 Nairobi,"5,688,422",
Standard Chartered Nominees Non-Resd A/C KE9053,PO Box 40984-00100 Nairobi,"5,680,033",
The Permanent Secretary to the Treasury of Kenya,"On behalf of the Government
of Kenya Treasury Building
Kenya","4,342,548",
ICEA Lion Life Assurance Company Limited – Pooled,PO Box 46143-00100 Nairobi,"2,603,453",
"Kenya Commercial Bank Nominees Limited A/C915B
Kenya Commercial Bank Nominees Limited A/C 915B",PO Box 30664-00100 Nairobi,"2,137,651",
Kingsway Nominees Limited,PO Box 42841-00100 Nairobi,"1,987,300",
Standard Chartered Nominees A/C 9187,PO Box 40984-00100 Nairobi,"1,779,405",
Kenya Commercial Bank Nominees Limited A/C 1065B,30664-00100 Nairobi,"1,691,722",
Others,,61 197 190,
,Grand totals,"395,321,638",
