"Notes (continued)
46 Capital commitments
Capital commitments for the acquisition of property and equipment are summarised below:",Column,Column
"Authorised and contracted for
Authorised but not contracted for","2021
KShs Million","2020
KShs Million"
,"261
1,156","142
963"
47 Operating leases,,
"At 31 December, the future minimum lease payments under non-cancellable operating leases were payable
as follows;",,
"Less than one year
Between one and five years","2021
KShs Million","2020
KShs Million"
,"27
18","2 7
1 8"
,45,45
"48 Fiduciary activities
The assets held on behalf of individuals, trusts, retirement benefit plans and other institutions:",,
Assets held on behalf of individual’s trusts and other institutions,"2021
KShs Million","2020
KShs Million"
,"429,329","365,573"
"49 Assets and liabilities classified as held-for-sale
The assets and liabilities of SBG Securities Limited - Uganda branch and SBG Rwanda were classified as
held-for-sale as at 31 December 2020 following approval by the board of directors to dispose the branch as
a going concern. The branches were disposed off in 2021.",,
