Column,2016,Column,2016
,Kshs'000,,Kshs'000
"2,561,793",,"5,746,551
12,777,274
23,181,591
(2,116,494)",-
"8,934,432",,,-
"16,988,881",,,"100,662"
"(3,499,101)",,,-
,"24,986,005","39,588,922","100,662"
