"Financial assets at fair value
through OCI",Column,Column
"Corporate
Sovereign","154
19,075","1 54 - - - - - - -
1 9,075 - - - - - - -"
Gross carrying amount,"19,229",
"Add: Fair value reserve relating to fair
value adjustments (before the ECL
balance) (Note 21.1)",( 2),
"Net carrying amount of financial
assets measured at fair value
through OCI","19,227",
