"Notes (continued)
23 Loans and advances (continued)
23 (e) Credit impairment losses GROUP",Column,Column
"Note
Loans impairment charge for financial assets
Loans impairment for customer loans","2024
KShs Million","2023
KShs Million"
,"42
3,513","31
7,316"
Loans impairment charge/(credit) for performing bank loans,19,1
"Loans impairment for performing off balance sheet Letters of
43 (c)
credit and guarantees
Amounts recovered during the year
Net credit impairment losses","(38)
(437)","(24)
(1,088)"
,"3 ,099","6 ,236"
"The Directors are of the opinion that net recoverable amounts are reasonable and are expected to be realised
based on past experience.
23 (f) Vehicle and asset finance
The Group holds contracts with customers where the Group finances the purchase of assets under a series of
contracts which transfer title to the Group as security for the loan. The Group receives the loan repayments
and sets off the repayments against the principal loan and interest.
GROUP",,
"Maturity analysis:
Not later than 1 year
Later than 1 year and not later than 5 years
Later than 5 years","2024
KShs Million","2023
KShs Million"
,"1 ,053
1 2,200
6 67","1,058
11,396
593"
,"13,920","13,047"
