Column,Note,"Group
31 31
December December
2012 2011
Shs'000 Shs'000",Column,Column,Column,Column,Column,Column
,"6
7
13
8
9
10
11
24
14
15
16
12",,,"6,042,024
8,603,450
(2,561,426)
(652,853)
5,389,171
4,756,855
2,095,809
2,350,880
(255,071)
2,513,521
147,525
43,238
10,189,264
(7,390,363)
(2,947,416)
(4,442,947)
2,798,901
(1,159,744)
1,639,157
199,835
1,838,992",,,,
,,,"6,542,787",,,"21,535",,
,,,"11,653,458","8,603,450",,"21,535","-
-",
,,,"(5,110,671)",,"(2,561,426)",-,,
,,,"(635,429)",,"(652,853)",-,,
,,,"5,907,358",,"5,389,171","21,535",,
,,,"7,549,557",,"4,756,855","200,000",,
,,,"2,543,199",,"2,095,809",-,-,
,,,"2,718,045",,"2,350,880",-,"-
-",
,,,"(174,846)","(255,071)",,-,,
,,,"4,973,862","2,513,521
147,525",,-,"-
221,744",
,,,"32,496",,,"200,000",,
,,,-,,,,,
,,,"13,456,915",,,"221,535",,
,,,"(8,868,827)",,,"(80,815)",,
,,,"(3,543,387)","(2,947,416)
(4,442,947)",,-,"-
(101,650)",
,,,"(5,325,440)",,,"(80,815)",,
,,,"4,588,088",,,"140,720",,
,,,"(1,578,197)",,,-,,
,,,"3,009,891",,,"140,720",,
,,,-,,,-,,
,,,"3,009,891",,,"140,720",,
Profit attributable to :,,,,"1,738,855
100,137
1,838,992",,,,
Owners of the parent,,,"3,009,891","1,738,855
100,137",,"140,720",,"120,094"
Non controlling interest,,,-,,,-,-,
,,,"3,009,891","1,838,992",,"140,720","120,094",
,,,9.90,5.99,,0.46,,
,,,,0.73,,,,
,,,-,,,-,,
