Column,PBB,"PBB
KShs'000
2015"
,KShs'000,
,2016,
,"7,174,523","5,911,557
(1,705,270)"
,"(1,870,012)",
,"5,304,511","4,206,287
(667,066)"
"(838,526)",,
"4,465,985",,"3,539,221
1,688,227
(211,955)"
,"1,728,357",
,"(181,687)",
,"1,546,670","1,476,272
326,017
133,147"
,"122,633",
,"12,729",
,"135,362","459,164"
,"6,148,017","5,474,657"
,"(3,008,603)","(2,684,226)
(311,916)
(1,594,877)"
,"(393,627)",
,"(1,796,726)",
,"949,061","883,638"
,"(376,986)","(293,278)"
,"572,075","590,360"
