Column,"Opening
ECL
1 January
2018","Total
transfers
between
stages",Income statement movements,Column,Column,"Net ECL
raised/
(released)1","Impairment
accounts
written-off","Exchange
and other
movements","Closing
ECL
31
December
2018","Interest in
suspense
movement",Total
,,,"ECL on
new
exposure
raised","Subsequent
changes
in ECL","Change in
ECL due to
derecognition",,,,,,
"Customers KShs'000 KShs'000 KShs'000 KShs'000 KShs'000 KShs'000 KShs'000 KShs'000 KShs'000 KShs'000 KShs'000
Mortgage loans 6 53,664 - 1 3,418 1 47,392 - 1 60,810 ( 12,832) 8 ,947 8 10,589 3 1,316 8 41,906
Stage 1 1 5,476 2 5,087 4 ,655 ( 27,804) - ( 23,149) - 4 ,255 2 1,669 - 2 1,669
Stage 2 1 78,453 ( 23,359) 8 ,763 1 6,805 - 2 5,569 - 3 56 1 81,018 - 1 81,018
Stage 3 4 59,735 ( 1,728) - 1 58,390 - 1 58,390 ( 12,832) 4 ,337 6 07,902 3 1,316 6 39,218
Vehicle and
asset finance 1 ,259,900 - 1 80,186 6 08,622 - 7 88,808 ( 473,314) ( 82,447) 1 ,492,947 ( 19,920) 1 ,473,027
Stage 1 1 03,558 5 ,938 6 6,365 ( 65,567) - 7 98 - - 1 10,294 - 1 10,294
Stage 2 2 79,476 ( 17,542) 1 13,821 1 02,850 - 2 16,672 - - 4 78,606 - 4 78,606
Stage 3 8 76,866 1 1,604 - 5 71,338 - 5 71,338 ( 473,314) ( 82,447) 9 04,046 ( 19,920) 8 84,127
Card debtors 5 3,919 - 3 ,827 5 4,114 - 5 7,941 ( 50,483) ( 9,790) 5 1,587 - 5 1,587
Stage 1 1 4,820 4 10 2 ,616 ( 681) - 1 ,935 - - 1 7,165 - 1 7,165
Stage 2 2 0,891 1 ,099 1 ,211 ( 6,857) - ( 5,646) - - 1 6,345 - 1 6,345
Stage 3 1 8,207 ( 1,509) - 6 1,652 - 6 1,652 ( 50,483) ( 9,790) 1 8,077 - 1 8,077
Other loans
and advances 1 ,726,445 - 3 12,410 4 5,279 - 3 57,689 ( 262,836) 8 3,990 1 ,905,288 1 23,469 2 ,028,757
Stage 1 1 64,191 2 3,995 9 6,022 ( 109,714) - ( 13,692) - 9 44 1 75,437 - 1 75,437
Stage 2 7 81,513 ( 81,386) 2 16,388 ( 241,334) - ( 24,946) - ( 529) 6 74,651 - 6 74,651
Stage 3 7 80,741 5 7,392 - 3 96,327 - 3 96,327 ( 262,836) 8 3,575 1 ,055,199 1 23,469 1 ,178,668
Corporate 5 ,280,395 - 4 13,142 8 72,997 ( 322,146) 9 63,993 - ( 52,314) 6 ,192,074 6 63,110 6 ,855,184
Stage 1 4 05,041 ( 71,828) 1 69,461 5 8,377 ( 110,997) 1 16,842 - - 4 50,055 - 4 50,055
Stage 2 2 ,103,329 ( 1,848,316) 4 1,976 ( 28,611) ( 76,011) ( 62,646) - ( 52,314) 1 40,052 - 1 40,052
Stage 3 2 ,772,025 1 ,920,144 2 01,705 8 43,231 ( 135,139) 9 09,798 - - 5 ,601,967 6 63,110 6 ,265,077
Total 8 ,974,322 - 9 22,984 1 ,728,403 ( 322,146) 2 ,329,241 ( 799,465) ( 51,614) 1 0,452,484 7 97,976 1 1,250,460",KShs'000,KShs'000,KShs'000,KShs'000,KShs'000,KShs'000,KShs'000,KShs'000,KShs'000,KShs'000,KShs'000
,"6 53,664",-,"1 3,418","1 47,392",-,"1 60,810","( 12,832)","8 ,947","8 10,589","3 1,316","8 41,906"
,"1 5,476","2 5,087","4 ,655","( 27,804)",-,"( 23,149)",-,"4 ,255","2 1,669",-,"2 1,669"
,"1 78,453","( 23,359)","8 ,763","1 6,805",-,"2 5,569",-,3 56,"1 81,018",-,"1 81,018"
,"4 59,735","( 1,728)",-,"1 58,390",-,"1 58,390","( 12,832)","4 ,337","6 07,902","3 1,316","6 39,218"
,"1 ,259,900",-,"1 80,186","6 08,622",-,"7 88,808","( 473,314)","( 82,447)","1 ,492,947","( 19,920)","1 ,473,027"
,"1 03,558","5 ,938","6 6,365","( 65,567)",-,7 98,-,-,"1 10,294",-,"1 10,294"
,"2 79,476","( 17,542)","1 13,821","1 02,850",-,"2 16,672",-,-,"4 78,606",-,"4 78,606"
,"8 76,866","1 1,604",-,"5 71,338",-,"5 71,338","( 473,314)","( 82,447)","9 04,046","( 19,920)","8 84,127"
,"5 3,919",-,"3 ,827","5 4,114",-,"5 7,941","( 50,483)","( 9,790)","5 1,587",-,"5 1,587"
,"1 4,820",4 10,"2 ,616",( 681),-,"1 ,935",-,-,"1 7,165",-,"1 7,165"
,"2 0,891","1 ,099","1 ,211","( 6,857)",-,"( 5,646)",-,-,"1 6,345",-,"1 6,345"
,"1 8,207","( 1,509)",-,"6 1,652",-,"6 1,652","( 50,483)","( 9,790)","1 8,077",-,"1 8,077"
,"1 ,726,445",-,"3 12,410","4 5,279",-,"3 57,689","( 262,836)","8 3,990","1 ,905,288","1 23,469","2 ,028,757"
,"1 64,191","2 3,995","9 6,022","( 109,714)",-,"( 13,692)",-,9 44,"1 75,437",-,"1 75,437"
,"7 81,513","( 81,386)","2 16,388","( 241,334)",-,"( 24,946)",-,( 529),"6 74,651",-,"6 74,651"
