"31 December
2011
Shs ‘000",Column
"3,417,118
(1,286,333)",
"2,130,785
(4,280,802)",
"(5,271,793)
(1,029,650)
(852,087)
(4,999,339)
2,582,019
5,290,048","(14,291,249)
1,952,070
(396,102)
(5,683,420)
10,679,889
1,266,913"
"(2,150,017)",
"(436,257)",
"(587,905)
(22,305)
5,426
44,016
124,511
-
-
-","(358,561)
(200,549)
5,234
10,129
-
(3,263)
-
879,425"
"(406,245)
-",
"(426,168)
19,923","-
2,309,744"
"(5,138,689)
-
(8,131,208)
8,604,115",
"472,907",
