5 Segment information (continued),Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
5 (a),Results by busines,s units,,,,,,,,,,
,"Statement of profit and loss
Interest income
Interest expense
Net interest income
Fees and commission revenue
Fees and commission expense",,"Total
2024
KShs Million","Total
2023
KShs Million","CIB
2024
KShs Million","CIB
2023
KShs Million","BCB
2024
KShs Million","BCB
2023
KShs Million","PPB
2024
KShs Million","PPB
2023
KShs Million","IAM
2024
KShs Million","IAM
2023
KShs Million"
,,,"48,165
(23,828)","37,942
( 12,294)","3 3,619
(22,026)","2 5,457
( 12,047)","5,126
1,297","4,719
1,220","9,408
(3,098)","7,758
(1,469)","12
(1)","8
2"
,,,"24,337
6,042
(1,069)","25,648
6,670
( 1,032)","1 1,593
3 ,060
(237)","1 3,410
3 ,660
( 148)","6,423
1,181
( 317)","5,939
1,347
(323)","6,310
1,352
(515)","6,289
1,222
(561)","11
449
-","10
441
-"
,"Net fees and commission income
Trading revenue
Net gain/ (loss) from financial instruments at
fair value through profit or loss
Other income",,"4,973
7,662
2,849
114","5,638
10,247
( 92)
153","2 ,823
5 ,982
2 ,849
7 2","3 ,512
7 ,326
( 92)
1 42","864
834
-
20","1,024
1,737
-
7","837
752
-
15","661
1,095
-
4","449
94
-
7",441
,,,,,,,,,,,,"89
-
-"
,"Other losses on financial instruments
Trading and other income
Total income
Credit impairment losses",,(32),( 277),(32),( 277),-,-,-,-,-,-
,,,"10,593","10,031","8 ,871","7 ,099",854,"1,744",767,"1,099",101,89
,,,"39,903","41,317","2 3,287","2 4,021","8,141","8,707","7,914","8,049",561,540
,,,"(3,099)","( 6,236)",(909),"( 1,142)",( 901),"(3,407)","(1,289)","(1,687)",-,-
,"Net income before operating expenses
Employee benefits expense
Depreciation and amortisation expense
Depreciation on right-of use assets
Other operating expenses
Finance costs",,"36,804","35,081","2 2,378","2 2,879","7,240","5,300","6,625","6,362",561,540
,,,"(9,135)
(707)
(324)
(7,657)
(10)","( 8,656)
( 622)
( 336)
( 8,367)
( 6)","(4,032)
(256)
(74)
(3,662)
(10)","( 4,199)
( 248)
( 89)
( 4,331)
( 6)","( 2,455)
( 189)
( 114)
( 1,681)
-","(2,257)
(170)
(118)
(1,719)
-","(2,462)
(254)
(136)
(2,170)
-","(2,015)
(201)
(128)
(2,240)
-","(186)
(8)
-
(144)
-","( 185)
( 3)
( 1)
( 77)
-"
,Total operating expenses,,"(17,833)","( 17,987)","(8,034)","( 8,873)","( 4,439)","(4,264)","(5,022)","(4,584)",(338),( 266)
,"Profit before income tax
Income tax expense",,"18,971","17,094","1 4,344","1 4,006","2,801","1,036","1,603","1,778",223,274
,,,"(5,255)","( 4,936)","(3,816)","( 4,028)",( 884),(321),(480),(509),(75),( 78)
,Profit for the year,,"13,716","12,158","1 0,528","9 ,978","1,917",715,"1,123","1,269",148,196
