Financial instrument,Nature of agreement,Basis on which amounts are compiled
Derivative assets and liabilities,ISDAs,"The agreement allows for offset in the event
of default."
"Trading assets and trading
liabilities",Global master repurchase agreements,"The agreement allows for offset in the event
of default."
Loans and advances to banks,Banking Act,"In the event of liquidation or bankruptcy,
offset shall be enforceable subject to meeting
Banking Act requirements."
Deposits and current accounts,Banking Act,"In the event of liquidation or bankruptcy,
offset shall be enforceable subject to meeting
Banking Act requirements."
