Column,2012,2011
,Shs’000,Shs’000
Present value of funded obligations,"95,637","81,579"
Fair value of plan assets,"(106,019)","(88,356)"
Present value of unfunded obligations/(over funding),"(10,382)","(6,777)"
Unrecognised actuarial remeasurements,"14,898","11,758"
Liability or asset in the statement of financial position,"4,516","4,981"
At start of year,"81,579","103,738"
Current service cost,816,"1,288"
Interest cost,"9,866","9,756"
Actuarial remeasurements,"15,560","(19,559)"
Benefits paid,"(12,184)","(13,644)"
At end of year,"95,637","81,579"
