Responses,Column,Column
"Application - FA, PA or NA
- See Notes 1, 2, 3, & 4",Application or Explanation - Note 2,Source of Information
FA,"Yes. Each committee has its own mandate, which outlines the
terms of reference, authority, responsibilities, composition,
leadership and working processes. The committees are
highlighted under Section 2 of the Board Mandate and
delegated authority under Section 7.6 of the same. The
mandates of the committees are reviewed annually and
published on the Company’s website. Further, summaries of
the committees’ duties and activities are provided in the
Annual Report under the Corporate Governance Statement
Section.","The Board Mandate, the Board Audit Committee Mandate,
the Nominations Committee Mandate and the 2019 Annual
Integrated Report, found on the Company’s website."
PA,"Yes, the Board has established a Nominations Committee,
comprised solely of independent and non-executive Board
members. As at 31 December 2019, there are 4 members, 2 of
whom are independent non-executive Board Members. The
chairman is independent. However, as a member of a Group
of Companies, the Chairman of the Board and the Regional
Chief Executive are required to be members and they are not
independent. The membership of the committee is confirmed
in the Board minutes, which records the appointment of
members. The composition of the Committee in 2019,
including attendance, is published in the Corporate
Governance section of the 2019 Annual Integrated Report.","Board Meeting Minutes. In addition, the Nominations
Committee Mandate Section 3.1 and the 2019 Annual
Integrated Report, available on the Company’s Website."
FA,"The Board appointed an independent non-executive director
to chair the Committee, with effect from February 2019 and
replaced at the Board meeting of 27 February 2020. Another
independent non-executive Director has been appointed to
take over in 2020.","Nominations Committee Meeting Minutes, Board Meeting
Minutes, as well as the Board Nominations Committee
Mandate which is on Company Website."
FA,"These are contained in the Company’s Articles of Association,
Sections 4.8 - 4.11 of the Governance Framework, Section 4 of
the Board Mandate; and the Nominations Committee
Mandate under Section 7.1. The Nominations Committee
evaluates potential Board members based on the required
skills and on the diversity policy. Selected candidates are
recommended to the Board for consideration and
appointment subject to regulatory approval.","The Board Mandate, the Governance Framework, the
Nominations Committee Mandate and the Company’s
Articles of Association found on the Company’s website."
FA,"Yes. The Board is composed of 8 Directors, with room for
appointment of more Directors. This is within the requirement
stipulated under Section 2.1 of the Board Mandate and under
Section 99 of the Company’s Articles of Association.","The Board Mandate and Articles of Association found on the
Company’s website."
FA,"Yes. The Company has a Diversity policy in place and is
available on the company’s website. Further, Section 7.1.5 of
the Nominations Committee Mandate and Section 2.6 of the
Board Mandate emphasises the need for diversity of the
Board in terms of age, race and gender. Diversity in skills,
experience and views is important for the Board to ensure
effective monitoring of the Company and delivery of value to
diverse stakeholders.","The Diversity Policy, Board Mandate, Nominations Committee
Mandate and the Governance Framework contained on the
Company’s website."
FA,"Yes, they do. This is a requirement under Section 4.2 of the
Board Mandate. The mix of skills, knowledge, business
experience and independence of the Board members has
been indicated in the Annual Report under the skills matrix
and in the Directors’ individual profiles.","Board Mandate and 2019 Annual Report contained on the
Company’s website."
FA,"Only where it interferes with discharge of duties. The Conflicts
of interest section of the Board Mandate under 9.1 and 9.2
requires disclosure of multiple directorships and annual
declaration of the same, or immediate disclosure where an
appointment occurs between annual declarations. A current
declaration of interests register is maintained by the
Company Secretary. The Board is also guided by the
Company’s Governance Framework Section 7.4 and by
applicable regulations, notably regarding number of
directorships allowed on public listed companies.","The Board Mandate and the Governance Framework both
contained on the Company’s website."
FA,"There are currently no alternate directors appointed. The
Articles of Association, however, allow for appointment of
alternate directors.",None Applicable
