Column,Priority Area,Planned Initiatives
1,"Invest further in Private and Commercial banking
segments","Continuously train and develop our Relationship
Management teams"
2,"Raise cheaper deposits i.e. current and savings
accounts to improve margins",Local (7%) and foreign (3%) currency deposit campaigns
3,"Invest significantly in mobile and internet banking
capabilities","Optimizing our new Mobile and Internet Banking
platforms launched in 2015"
4,"Invest in non interest revenue activities to improve
returns","Growing our bancassurance business
Building scale in our payments and collections
capabilities"
5,"Enhance customer experience through improved
turnaround times","Implement improvement initiatives covering our account
opening, lending and payments/collections processes"
6,Opening of new branches,The Hub Karen (April 2016) and Two Rivers (July 2016)
