Range,Records,Range Total,Percentage
STANBIC NOMINEES LTD A/C NR00901,P.O. BOX 30550-00100 NAIROBI,"273,357,378",69.15%
"STANDARD CHARTERED NOMINEES
NON RESD. A/C 9866",P.O. BOX 40984-00100 NAIROBI,"29,176,824",7.38%
"STANDARD CHARTERED NOMINEES LTD
NON RESD A/CKE11663",P.O. BOX 40984-00100 NAIROBI,"10,417,950",2.64%
"STANBIC NOMINEES LIMITED
A/C NR1031327",P.O.BOX 30550-00100 NAIROBI,"8,544,272",2.16%
"STANDARD CHARTERED NOMINEES
NONRESD. A/C KE9053",P.O. BOX 40984-00100 NAIROBI,"5,680,033",1.44%
"THE PERMANENT SECRETARY TO THE
TREASURY OF KENYA","(ON BEHALF OF THE GOVT. OF KEN
TREASURY BUILDING KENYA","4,342,548",1.10%
"STANDARD CHARTERED NOMINEES
A/C 9230",P.O. BOX 40984-00100 NAIROBI,"2,773,322",0.70%
"ICEA LION LIFE ASSURANCE COMPANY
LIMITED-POOLED",P.O BOX 46143-00100 GPO NAIROBI,"2,355,653",0.60%
"KENYA COMMERCIAL BANK NOMINEES
LIMITED A/C 915B",P.O BOX 30664-00100 NAIROBI,"2,137,651",0.54%
KINGSWAY NOMINEES LIMITED,P.O. BOX 42841-00100 NAIROBI,"1,987,300",0.50%
OTHERS,,"54,548,707",13.80%
,Grand Totals:,"395,321,638",100.00%
