Type of financial,Basis on which amounts are compiled
"Non-derivative financial
liabilities and financial",Undiscounted cash flows which include interest payments
"Issued financial guarantee
contracts, and
unrecognised loan","Earliest possible contractual maturity. For issued financial guarantee
contracts, maximum amount of the guarantee is allocated to the earliest
period in which the guarantee could be called."
"Derivative financial
liabilities and financial
assets held for risk
management purpose","Contractual undiscounted cash flows. The amounts shown are the gross
nominal inflows and outflows for derivatives that have simultaneous gross
settlement (e.g. forward exchange contracts and currency swaps) and the
net amounts for derivatives that are net settled."
