Column,"8,840",Column,"100,000",Column,-,Column,"108,840"
42,,208,,"1,401",,"1,651",
,42,,208,,"1,401",,"1,651"
,"8,882",,"100,208",,"1,401",,"110,491"
-,,"(40,070)",,-,,(40.070),
,-,,"(40,070)",,-,,(40.070)
,-,,-,,"(3,198)",,"(3,198)"
,-,,"(40,070)",,"(3,198)",,"(43,268)"
"8,882",,"60,138",,"(1,797)",,"67,223",
