"Standards and
amendments",Key requirements
"Definition of
Accounting
Estimates -
Amendments to
IAS 8 (issued in
February 2021)","The amendments introduce the definition of accounting estimates and include amendments
to assist entities to distinguish changes in accounting estimates from changes in accounting
policies.
The amendments are not expected to have a material impact on the Group."
"IFRS 17
Insurance
Contracts (issued in
May 2017)","IFRS 17 ‘Insurance Contracts’ establishes the principles for the recognition, measurement,
presentation and disclosure of insurance contracts issued. It also requires similar principles
to be applied to reinsurance contracts held and investment contracts with discretionary
participation features issued. The objective is to ensure that entities provide relevant
information in a way that faithfully represents those contracts. The Group does not issue
insurance contracts."
"Amendments to
IAS 1:
Classification
of Liabilities as
Current or Non-
current (issued in
January 2020)","Amendments to IAS 1 'Classification of Liabilities as Current or Noncurrent, clarify a criterion
for classifying a liability as non-current: the requirement for an entity to have the right to
defer settlement for at least 12 months after the reporting date. In addition, companies may
need to provide new disclosures for liabilities subject to covenants. The amendments are not
expected to have a material impact on the Group."
"Disclosure of
Accounting
Policies -
Amendments to
IAS 1 and IFRS
Practice Statement
2 (Issued in
February 2021)","In response to the IASB’s Disclosure Initiative – Principles of Disclosure, the amendments
introduce a requirement on entities to disclose their material accounting policy information
rather than significant accounting policies. To support this amendment the IASB also
amended its IFRS Materiality Practice Statement to explain and demonstrate the application
of the materiality process to accounting policy disclosures. The Group is currently assessing
the impact of the amendments to determine the impact they will have on the Group’s
accounting policy disclosures."
"Deferred Tax
related to Assets
and Liabilities
arising from a
Single Transaction
- Amendments to
IAS 12 (Issued in In
May 2021)","The amendments narrow the scope of the initial recognition exception under IAS 12, so that
it no longer applies to transactions that give rise to equal taxable and deductible temporary
differences.
The amendments should be applied to transactions that occur on or after the beginning
of the earliest comparative period presented. In addition, at the beginning of the earliest
comparative period presented, a deferred tax asset (provided that sufficient taxable profit is
available) and a deferred tax liability should also be recognised for all deductible and taxable
temporary differences associated with leases and decommissioning obligations. The Group
is currently assessing the impact of the amendments."
"Lease Liability
in a Sale and
Leaseback –
Amendments to
IFRS 16 (issued in
September 2022)","The amendments add to requirements explaining how a company accounts for a sale and
leaseback after the date of the transaction. IFRS 16 had not previously specified how to
measure the transaction when reporting after that date. The amendments add to the sale
and leaseback requirements in IFRS 16, thereby supporting the consistent application of the
standard. These amendments will not change the accounting for leases other than those
arising in a sale and leaseback transaction. The amendments will be applied retrospectively
and are not expected to have a material impact on the Group’s financial statements."
