"1,976,608",Column,"16,897,389",Column,"(1,386,816)",Column,"600,889",Column,"18,088,070"
-,,-,,"1,095,565",,-,,"1,095,565"
-,,-,,-,,-,,-
-,,-,,"(375,554)",,"(600,889)",,"(976,443)"
-,,-,,"(2,055,673)",,"2,055,673",,-
-,,-,,"(2,431,227)",,"1,454,784",,"(976,443)"
"1,976,608","16,897,389",,"(2,722,478)",,"2,055,673",,"18,207,192",
