Financial instrument,Nature of,Basis on which amounts are compiled
"Derivative assets and
liabilities",ISDAs,"The agreement allows for offset in the event of
default."
"Trading assets and
trading liabilities","Global master
repurchase","The agreement allows for offset in the event of
default."
"Loans and advances to
banks",Banks Act,"In the event of liquidation or bankruptcy, offset
shall be enforceable subject to meeting Banks
Act requirements."
"Deposits and current
accounts",Banks Act,"In the event of liquidation or bankruptcy, offset
shall be enforceable subject to meeting Banks
Act requirements."
