25,PROPERTY AND EQUIPMENT (Continued),Column,Column,Column,Column,Column
,"Motor vehicles, furniture and equipment stated at a cost of Sh231,587,525 (2003- Sh 178,436,774) have been fully",,,,,
,"depreciated. The normal annual depreciation charge in respect of these assets would have been Sh55,271,192",,,,,
,"(2003 -Sh44,857,830).",,,,,
,(b),BANK,,,,
,,,Building on,Motor,Furniture and,
,,,leasehold land,vehicles,equipment,Total
,,,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO
,COST,,,,,
,At 1January 2004,,"352,710","23,743","327,077","703,530"
,Additions,,,"2,112","53,661","55,773"
,Disposals,,,,"(7,552)","(7,552)"
,At31 December 2004,,"352,710","25,855","373,186","751,751"
,DEPRECIATION,,,,,
,At 1January 2004,,"27,862","10,102","209,642","247,606"
,Charge for the year,,"7,054","5,477","47,824","60,355"
,Eliminated on disposals,,,,"(7,552)","(7,552)"
,At31 December 2004,,"34,916","15,579","249,914","300,409"
,NET BOOK VALUE,,,,,
,At31 December 2004,,"317,794","10,276","123,272","451,342"
,At 31 December 2003,,"324,848","13,641","117,435","455,924"
