Column,Column,Level 1,Level 2,Level 3,Total
,Note,,,,
,,Kshs’000,Kshs’000,Kshs’000,Kshs’000
At 31 December 2012,,,,,
Assets,,,,,
Trading assets,20,"127,067","15,098,957",-,"15,226,024"
Financial investments,20,-,"5,740,052",-,"5,740,052"
Pledged assets,19,-,"3,123,196",-,"3,123,196"
,,"127,067","23,962,205",-,"24,089,272"
Comprising:,,,,,
Held-for-trading,20,"127,067","15,098,957",-,"15,226,024"
Designated at fair value through profit or loss,,-,-,-,-
Available-for-sale,20,-,"8,863,248",-,"8,863,248"
,,"127,067","23,962,205",-,"24,089,272"
Derivative assets,30,-,"1,931,831",-,"1,931,831"
,,-,"1,931,831",-,"1,931,831"
Comprising:,,,,,
Held-for-trading,,-,"1,931,831",-,"1,931,831"
,,-,"1,931,831",-,"1,931,831"
Liabilities,,,,,
Trading liabilities,21,-,-,-,-
,,-,-,-,-
Comprising:,,-,-,-,-
Designated at fair value through profit or loss,,-,-,-,-
Derivative liabilities,30,-,"2,469,648",-,"2,469,648"
,,-,"2,469,648",-,"2,469,648"
Comprising:,,,,,
Designated at fair value through profit or loss,,-,"2,469,648",-,"2,469,648"
,,-,"2,469,648",-,"2,469,648"
