Capital,Description,Actions to enhance outcomes,Outcomes,Key stakeholders
,"We are accelerating skills
development in key areas to
develop, attract and retain
critical skills","Upskilled in AI & ESG
Habits framework & values
Automized optimisation
Performance‑based incentives","1222 employees
104 average training hours per employee
Net Promoter Score (NPS)‑46%
Spend on training –KES89.1m",
,"We allocate our capital to deliver
sustainable earnings growth and
attractive returns","Product innovations
Commercialisation of investments
Cross business units integration
Cost disicepline and efficiency","Profit after tax‑KES13.7bn
5% increase in customer deposits
17% increase in bank loans and advances
19% growth in balance sheet",
,"We deliver innovative solutions
that support our ambitions","Advanced monitoring tools
Continued cloud journey
Data centre co‑location","99.8% uptime achieved
18 new features on the banking platform
Stable Risk Environment :
NPL at 8%
CLR at 0.6%
Brand Equity score of 15.7",
,"We are focused on defending
and growing our franchise","Deepened Stanbic Foundation Kenya’s
work across 3 key areas:
Economic Empowerment
Digital Skills for Youth
Climate Resilience and Green Growth.","100,000 youths equipped with digital skills
139 training centres involved
450 computers donated
66 students benefited from scholarship opportunities
70,000 women trained in financial inclusion
KES 120 million disbursed for financial inclusion",
,"We are committed to doing the
right business, the right way",Stayed abreast with evolving technology,"30 branches
3 additional service centers
5 additional ATMs",
,"We are committed to making a
positive impact","Increased financing for green initiatives
Waste management initiatives","Stanbic Bank and the Foundation planted over
204,000 trees
KES4.5bn Green building loans
KES 2.5bn in Climate smart agriculture funding
99.9% waste recycled",
