Column,Column,Column,Level 2,Total
,,No te,KShs’000,KShs’000
,,21 (a),"15,995,194","15,995,194"
,,21 (b),"34,037,538","34,037,538"
,,20,"2,894,456","2,894,456"
,,31,"2,472,191","2,472,191"
,,,"55,399,379","55,399,379"
,,,"18,467,385","18,467,385"
,,,"36,931,994","36,931,994"
,,,"55,399,379","55,399,379"
L,iabilities,,-,-
T,rading liabilities,2 2,"3,867,718","3,867,718"
D,erivative liabilities,31,"3,061,063","3,061,063"
,,,"6,928,781","6,928,781"
C,omprising:,,,
H,eld-for-trading,,"6,928,781","6,928,781"
