Year ended 31 December 2024,"Gross Carrying
amount
KShs Million",Column,Column,Column,Column,Column,Column,Column,Column,"Total gross
carrying
amount of
default
exposures
KShs Million","Securities
and
expected
recoveries
on default
exposures
KShs Million","Interest in
suspense on
default
exposures
KShs Million","Statement of
Financial
Position
expected
credit loss
on default
exposures
KShs Million","Gross
default
coverage
%","Non-performing
exposures
%"
,,SB 1 - 12,,SB 13 - 20,,SB 21- 25,,Default,,,,,,,
,,"Stage 1
KShs
Million","Stage 2
KShs
Million","Stage 1
KShs Million","Stage 2
KShs
Million","Stage 1
KShs
Million","Stage 2
KShs
Million","Stage 3
KShs
Million","Purchased/
originated
credit
impaired
KShs
Million",,,,,,
"Loans and advances to
customers",,,,,,,,,,,,,,,
"PPB
Mortgage loans
Vehicle and asset finance
Card debtors
Other loans and advances","5 9,858","2 6,879",-,"1 3,664","5,647","4,661","1,942","7,065",-,"7,065","1,313",504,"5,248",81%,12%
,"3 5,644
5 ,008
882
1 8,324","1 9,921
1 ,672
-
5 ,286","-
-
-
-","6,095
2,041
717
4,811","5,232
62
-
353","-
-
-
4,661","760
161
133
888","3,636
1,072
3 2
2,325","-
-
-
-","3,636
1,072
32
2,325","2,069
792
6
(1,554)","113
5 2
-
339","1,454
228
26
3,540","43%
26%
81%
167%","10%
21%
4%
13%"
"BCB
Mortgage loans
Vehicle and asset finance
Card debtors
Other loans and advances","3 6,897",-,-,"2 1,318",-,-,"6,727","8,852",-,"8,852","4,606",594,"3,652",48%,24%
,"722
7 ,320
-
2 8,855","-
-
-
-","-
-
-
-","561
6,410
-
1 4,347","-
-
-
-","-
-
-
-","1 61
910
-
5,656","-
-
-
8,852","-
-
-
-","-
-
-
8,852","-
( 115)
-
4,721","-
-
-
594","-
115
3,537","0%
0%
0%
47%","0%
0%
0%
31%"
"CIB
Corporate","1 51,302","46,398",-,"8 4,382","1 0,885","2,592",1,"7,044",-,"7,044","1,681","1,206","4,157",76%,5%
,"1 51,302","46,398",-,"8 4,382","1 0,885","2,592",1,"7,044",-,"7,044","1,681","1,206","4,157",76%,5%
,"2 48,057","73,277",-,"1 19,364","1 6,532","7,253","8,670","22,961",-,"22,961","7,600","2,304","13,057",67%,9%
"Loans and advances to banks
Bank
Gross carrying amount
Less: Total expected credit losses for
loans and advances
Net carrying amount of loans &
advancesmeasuredatamortised
cost","6 4,651","63,299",-,"1,281",71,-,-,-,-,-,-,-,-,0%,0%
,"3 12,708","136,576",-,"1 20,645","1 6,603","7,253","8,670","22,961",-,"22,961","7,600","2,304","13,057",61%,7%
,"(17,851)",,,,,,,,,,,,,,
,"294,857",,,,,,,,,,,,,,
