Column,"8,621,228",Column,-,Column,-,Column,"8,621,228",Column,"8,621,228",Column
,"17,372,706",,-,,-,,"17,372,706",,"16,988,881",
,,,"97,345,584",,"18,010,452",,"115,356,036",,"115,587,723",
,"25,993,934",,"97,345,584",,"18,010,452",,"141,349,970",,"141,197,832",
Liabilities,,,,,,,,,,
Deposits from banks,,"28,318,134",,,,"545,947",,"28,864,081",,"36,506,824"
Deposits from customers,"100,743,959",,,,"10,295,199",,,"111,039,158",,"119,328,219"
Subordinated debt,,,,"6,095,080",,,,"6,095,080",,"3,986,138"
,,"129,062,093",,"6,095,080",,"10,841,146",,"145,998,319",,"159,821,181"
