"Land and
premises","Equipment
furniture &
fittings","Motor
vehicles","Work in
progress",Total
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"385,493","2,740,356","168,901","178,428","3,473,178"
-,"164,915",-,"296,507","461,422"
-,"(7,252)","(5,284)",-,"(12,536)"
-,"124,568",-,"(124,568)",-
-,"(5,601)",(807),"(2,154)","(8,562)"
-,-,,(548),(548)
"385,493","3,016,986","162,810","347,665","3,912,954"
"(55,064)","(1,127,735)","(115,194)",-,"(1,297,993)"
"(3,799)","(249,899)","(23,844)",-,"(277,542)"
-,"2,189","5,284",-,"7,473"
-,"2,943",394,-,"3,337"
"(58,863)","(1,372,502)","(133,360)",-,"(1,564,725)"
"326,630","1,644,483","29,450","347,665","2,348,229"
