31 December 2021,Performing (Early arrears),Non - performing,"Total
KShs Million"
,"1 to 29 days 30 to 59 days 60 to 89 days
KShs Million KShs Million KShs Million","90 to 180 days More than 180 days
KShs Million KShs Million",
CHNW,"3,833 1,341 9 33",- -,"6,107"
"Mortgage lending
Vehicle and asset finance
Other loans and advances","2,066 873 7 69
428 147 1 8
1,339 321 1 46","- -
- -
- -","3 ,708
5 93
1 ,806"
BCC,"2,949 1,250 4 73",- -,"4,672"
"Mortgage lending
Vehicle and asset finance
Other loans and advances","35 - -
747 286 8 1
2,167 964 3 92","- -
- -
- -","3 5
1 ,114
3 ,523"
Corporate and Investment Banking,"9,516 2 3",- -,"9,521"
Corporate lending,"9,516 2 3",- -,"9 ,521"
Total recognised financial instruments,"16,298 2,593 1 ,409",- -,"20,300"
