June-18,June-17,Change
KES millions,KES millions,%
"91,541","71,853",
"17,558","15,571",
"136,477","117,945",
"20,371","16,011",
"2,271","2,326",
"10,563","10,552",
"278,781","234,258",
"48,466","47,597",
"167,306","130,263",
"7,032","3,988",
"13,767","11,642",
"42,210","40,768",
"278,781","234,258",
"72,479","39,554",
"6,286","3,891",
"66,193","35,663",
