20 960 926,Column,1 579
(7 613 186),,-
13 347 740,"12 129 645
(2 064 462)",1 579
(3 150 559),,-
10 197 181,10 065 183,1 579
5 652 635,"4 997 605
(442 225)",-
(545 202),,-
5 107 433,4 555 380,-
5 386 939,5 350 670,-
172 942,40 938,-
48 760,"16 842
891",1 924 000
716 999,,-
6 325 640,5 409 341,1 924 000
21 630 254,20 029 903,1 925 579
(6 633 135),"(5 894 324)
(667 536)
-
(4 424 078)
(96 208)",-
(704 364),,-
(357 470),,-
(6 076 275),,(21 769)
(149 246),,(738)
(13 920 490),(11 082 146),(22 507)
7 709 764,8 947 757,1 903 072
(1 329 148),(2 670 591),(555)
6 380 616,6 277 166,1 902 517
16.14,15.88,4.81
