Column,Total,"Total
Kshs'000",South Sudan,Column,S outh Sudan,Kenya,Column,Kenya
,Kshs'000,,Kshs'000,,Kshs'000,Kshs'000,,Kshs'000
,2016,2015,2016,,2015,2016,,2015
Interest income,"17,127,042","14,667,896
(5,364,849)","3,837",,"12,265","17,123,205",,"14,655,631"
Interest expense,"(6,266,995)",,(2),,-,"(6,266,993)",,"(5,364,849)"
Net interest income,"10,860,047","9,303,047","3,835",,"12,265","10,856,212",,"9,290,782"
,,"(907,305)",,,,,,
Impairment losses on loans and,,,,-,,,"(907,305)",
advances,"(1,751,812)",,"(409,806)",,,"(1,342,006)",,
Net interest income after loan,,"8,395,742",,"12,265",,,"8,383,477",
impairment charges,"9,108,235",,"(405,971)",,"12,265","9,514,206",,"8,383,477"
Fees and commission income,"3,242,504","3,392,725
(323,723)","391,147",,"270,739","2,851,357",,"3,121,986"
Fees and commission expense,"(337,539)",,"(24,154)",,"(2,842)","(313,385)",,"(320,881)"
Net fees and commission income,"2,904,965","3,069,002","366,993",,"267,897","2,537,972",,"2,801,105"
Trading income,"4,723,253","4,306,531
265,695","1,423,890",,"768,347","3,299,363",,"3,538,184"
Net other operating income,"29,093",,-,,"120,202","29,093",,"145,493"
Net trading and other income,"4,752,346","4,572,226","1,423,890",,"888,549","3,328,456",,"3,683,677"
Employee benefits,"(5,440,584)","(5,035,142)
(503,832)
(3,138,582)","(329,833)",,"(328,280)","(5,110,751)",,"(4,706,862)"
Depreciation and amortisation expense,"(517,500)",,"(7,300)",,"(42,113)","(510,200)",,"(461,719)"
Other expenses,"(4,758,376)",,"(1,562,041)",,"(333,180)","(3,196,335)",,"(2,805,402)"
Profit before tax,"6,049,086","7,359,414","(514,262)",,"465,138","6,563,348",,"6,894,276"
Income tax expense,"(1,630,497)","(2,453,680)","(12,027)",,"(89,148)","(1,618,470)",,"(2,364,532)"
Profit for the year,"4,418,589","4,905,734","(526,289)",,"375,990","4,944,878",,"4,529,744"
