(b),Secondary reporting format - Geographical segments,Column,Column,Column,Column,Column,Column
The group's operations are located in Kenyaand Tanzania. The Tanzanian subsidiary contributes over 10%ofthe,,,,,,,
group's consolidated income.,,,,,,,
,,,KENYA,,TANZANIA,,GROUP
,,2004,2003,2004,2003,2004,2003
,,Sh'OOO,Sh'OOO,Sh'OOO,Sh'QOO,Sh'OOO,Sh'OOO
Income,,"3,488,397","2,420,900","406,898","310,695","3,895,295","2,731,595"
Expenditure,,"2,692,892","1,955,306","321,507","246,323","3,014,399","2,201,629"
Segment result,,"795,505","465,594","85,391","64,372","880,896","529,966"
Taxation,,,,,,"215,442","114,858"
Profit after taxation,,,,,,"665,454","415,108"
Assets,,"27,264,416","15,897,625","2,551,146","532,721","29,815,562","16,430,346"
Goodwill,,"1,084,647",,,,"1,084,647",
Liabilities,,"21,712,290","13,447,013","2,291,789","323,515","24,004,079","12,785,857"
Capital expenditure,,"92,072","101,200","3,084",,"95,156","101,200"
Depreciation and,,,,,,,
amortisation,,"82,861","86,472","10,301","9,958","93,162","96,430"
