Column,Column,Column,Column,Column,Column,Column,Column,Column,Present
,Performing Loans,,,Non - Performing Loans,,,,,value
,Normal,Watch,Total,Sub-,,,Total Non-,Total,of expected
Loans and advances to customers,,,performing,standard,Doubtful,Loss,performing,loans,cash flows
,2012,2012,2012,2012,2012,2012,2012,2012,2012
,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs' 000,Kshs' 000,Kshs' 000
Personal and Business Banking,,,,,,,,,
- Mortgage lending,"8,627,670","520,674","9,148,344","166,562",-,-,"166,562","9,314,906","153,306"
- Instalment sales and finance leases,"6,261,210","649,246","6,910,456","101,010",-,"103,429","204,439","7,114,895","69,016"
- Card debtors,"335,109","28,904","364,013",,-,"41,204","41,204","405,217",-
- Other loans and advances,"8,612,887","1,318,324","9,931,211","170,114",-,"425,544","595,658","10,526,869","97,346"
Corporate and Investment Banking,,,,,,,,,
- Corporate lending,"37,851,323","2,446,045","40,297,368",-,"27,840","12,660","40,500","40,337,868","204,928"
Total recognised loans and,,,,,,,,,
advances to customers,"61,688,199","4,963,193","66,651,392","437,686","27,840","582,837","1,048,363","67,699,755","524,596"
