Attributable to equity holders,Column,Column,Column,Column
"Share
capital
KShs million","Share
premium
KShs million","Retained
earnings
KShs million","Proposed
dividend
KShs million","Total
equity
KShs million"
1 977,16 897,(2 908),2 293,18 260
–,–,2 275,–,2 275
–,–,–,(2 293),(2 293)
–,–,(1 502),1 502,–
–,–,(1 502),(791),(2 293)
1 977,16 897,(2 135),1 502,18 242
