31 December 2018,Performing (Early arrears),Non - performing,"Total
KShs'000"
,"1 to 29 days 30 to 59 days 60 to 89 days
KShs'000 KShs'000 KShs'000","90 to 180 days More than 180 days
KShs'000 KShs'000",
Personal and Business Banking,"1 3,459,417 3 ,148,911 1 ,818,619 - -",,"1 8,426,947"
"Mortgage lending
Instalment sales and finance leases
Other loans and advances
Corporate and Investment Banking","2 ,177,993 7 57,608 3 76,744 - -
2 ,101,589 7 85,140 1 68,876 - -
9 ,179,835 1 ,606,163 1 ,272,999 - -",,"3,312,345
3,055,605
12,058,997"
,"1 3,603,508 1 26,475 3 41,260 - -",,"1 4,071,244"
Corporate lending,"1 3,603,508 1 26,475 3 41,260 - -",,"1 4,071,244"
Total recognised financial instruments,"2 7,062,925 3 ,275,386 2 ,159,879 - -",,"3 2,498,191"
31 December 2017,,,
Personal and Business Banking,"4 ,733,200 1 ,482,944 6 16,024 - -",,"6 ,832,168"
"Mortgage lending
Instalment sales and finance leases
Other loans and advances
Corporate and Investment Banking","1 ,745,427 7 05,774 2 62,821 - -
1 ,756,159 5 08,797 1 43,616 - -
1 ,231,614 2 68,373 2 09,587 - -
3 ,328,461 5 39,013 4 85,844 - -",,"2 ,714,022
2 ,408,572
1 ,709,574
4 ,353,318"
Corporate lending,"3 ,328,461 5 39,013 4 85,844 - -",,"4,353,318"
Total recognised financial instruments,"8 ,061,661 2 ,021,957 1 ,101,868 - -",,"1 1,185,486"
