Personal and Business Banking,Column
Mortgage lending,First ranking legal charge over the property financed.
Instalment sales,Joint registration of vehicles.
Other loans and advances,"Debentures over the Company’s assets, cash cover in cash margin account, first
ranking legal charge over both commercial and residential properties, directors’
personal guarantees and Company guarantees."
Corporate and Investment Banking,
Corporate lending,"All assets debenture over the Company’s assets, cash cover in cash margin
account, first ranking legal charge over both commercial and residential
properties, directors’ personal guarantees and Company guarantees."
