Column,IFRS 9 – 1 January 2018,Column
,"Stage 1 Stage 2 Stage 3 Total IFRS 9
provision
(including
IIS)
Kshs'000 Kshs'000 Kshs'000 Kshs'000",
"3 78,864 1 ,632,282 2 ,011,146 5 03,267 2 ,514,413","3 07,778 1 ,260,333 1 ,632,282 3 ,703,660","1 ,189,247 3 56,774 8 32,473"
"3 78,864 1 ,632,282 2 ,011,146 5 03,267 2 ,514,413","2 98,045 1 ,260,333 1 ,632,282 3 ,693,927","1 ,179,514 3 53,855 8 25,659"
"1 22,694 2 50,748 3 73,441 2 08,988 5 82,429
8 9,734 7 27,413 8 17,147 1 49,453 9 66,600
7 ,733 1 8,207 2 5,941 - 2 5,941
1 58,703 6 35,914 7 94,617 1 44,827 9 39,444","1 5,476 1 78,453 2 50,748 6 53,664
1 03,558 2 79,476 7 27,413 1 ,259,900
1 4,820 2 0,891 1 8,207 5 3,919
1 64,191 7 81,513 6 35,914 1 ,726,445","7 1,235 2 1,371 4 9,864
2 93,300 8 7,990 2 05,310
2 7,978 8 ,394 1 9,584
7 87,001 2 36,100 5 50,901"
- - - - -,"9 ,733 - - 9 ,733","9 ,733 2 ,920 6 ,813"
"1 ,641,541 1 ,611,318 3 ,252,859 1 ,160,705 4 ,413,564","4 88,799 2 ,139,318 1 ,672,019 5 ,460,842","1 ,047,278 3 14,184 7 33,094"
"1 ,641,541 1 ,611,318 3 ,252,859 1 ,160,705 4 ,413,564","4 05,035 2 ,103,336 1 ,611,320 5 ,280,397","8 66,833 2 60,050 6 06,783"
"1 ,580,002 1 ,585,580 3 ,165,582 1 ,160,705 4 ,326,287
- - - - -
6 1,539 2 5,738 8 7,277 - 8 7,277","3 43,496 2 ,103,272 1 ,582,544 5 ,190,017
- - - -
6 1,539 6 4 2 8,777 9 0,380","8 63,730 2 59,119 6 04,611
- - -
3 ,103 9 31 2 ,172"
- - - - -,"2,859 - - 2 ,859","2 ,859 858 2 ,001"
- - - - -,"2 ,859 - - 2 ,859","2 ,859 8 58 2 ,001"
- - - - -,"11,791 3,199 - 1 4,990","1 4,990 4,497 1 0,493"
"- - - - -
- - - - -","5 28 - - 5 28
1 1,263 3 ,199 - 1 4,462","5 28 1 58 3 70
1 4,462 4 ,339 1 0,123"
- - - - -,"6 9,114 3 2,783 6 0,699 1 62,596","1 62,596 4 8,779 1 13,817"
"2 ,020,405 3 ,243,600 5 ,264,005 1 ,663,972 6 ,927,977","7 96,577 3 ,399,652 3 ,304,301 9 ,164,502","2 ,236,525 6 70,958 1 ,565,567"
