"Notes (continued)
23 Loans and advances
23 (a) Loans and advances to banks",Column,Column,Column,Column
,GROUP COMPANY,,,
"Note
Balances with banks","2024
KShs Million","2023
KShs Million","2024
KShs Million","2023
KShs Million"
,"5,077","5,128",-,-
Balances due from Group banks 42 (a),"59,421","90,578",159,
"Allowances for impairments*
Impairment Stages 1 & 2 (performing
23.1
loans)
Impairment Stage 3 (non-performing loans)
Credit impairment allowances
Net loans and advances","64,498","95,706",159,216
,"(12)
-","( 1)
-","-
-","-
-"
,(12),( 1),-,-
,"64,486","95,705",159,216
Maturity analysis:,,,,
"Redeemable on demand
Maturing within 1 month
Maturing after 1 month but within 12 months
Maturing after 12 month but within 5 years
Maturing after 5 years
Net loans and advances to banks","5,494
10,292
27,963
20,737
-","5,036
46,192
39,565
-
4,912","159
-
-
-
-","216
-
-
-
-"
,"64,486","95,705",159,216
* The Group hold balances with well rated commercial banks categorised under stage 1 and stage 2.,,,,
